round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_regret0,p1_regret1,p1_regret2,p1_target,p2_code,p2_role,p2_strategy,p2_regret0,p2_regret1,p2_regret2,p2_target,p3_code,p3_role,p3_strategy,p3_regret0,p3_regret1,p3_regret2,p3_target,p4_code,p4_role,p4_strategy,p4_regret0,p4_regret1,p4_regret2,p4_target,p5_code,p5_role,p5_strategy,p5_regret0,p5_regret1,p5_regret2,p5_target,p6_code,p6_role,p6_strategy,p6_regret0,p6_regret1,p6_regret2,p6_target,p7_code,p7_role,p7_strategy,p7_regret0,p7_regret1,p7_regret2,p7_target,p8_code,p8_role,p8_strategy,p8_regret0,p8_regret1,p8_regret2,p8_target,p9_code,p9_role,p9_strategy,p9_regret0,p9_regret1,p9_regret2,p9_target,p10_code,p10_role,p10_strategy,p10_regret0,p10_regret1,p10_regret2,p10_target,p11_code,p11_role,p11_strategy,p11_regret0,p11_regret1,p11_regret2,p11_target,p12_code,p12_role,p12_strategy,p12_regret0,p12_regret1,p12_regret2,p12_target
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,0,kn0mw3mg,p1,2,0,0,100,nan,e6ahxvs6,p2,0,200,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,1,kn0mw3mg,p1,1,0,0,100,nan,e6ahxvs6,p2,1,200,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,2,kn0mw3mg,p1,2,0,0,50,nan,e6ahxvs6,p2,2,200,0,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,3,kn0mw3mg,p1,0,200,0,50,nan,e6ahxvs6,p2,2,200,0,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,4,kn0mw3mg,p1,1,200,100,50,nan,e6ahxvs6,p2,0,150,0,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,5,kn0mw3mg,p1,2,200,100,100,nan,e6ahxvs6,p2,1,150,50,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,6,kn0mw3mg,p1,2,200,100,75,nan,e6ahxvs6,p2,2,150,50,33,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,7,kn0mw3mg,p1,0,100,100,75,nan,e6ahxvs6,p2,0,100,50,33,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,8,kn0mw3mg,p1,2,100,100,80,nan,e6ahxvs6,p2,0,125,50,33,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,9,kn0mw3mg,p1,0,133,100,80,nan,e6ahxvs6,p2,2,125,50,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,10,kn0mw3mg,p1,1,133,67,80,nan,e6ahxvs6,p2,1,125,33,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,11,kn0mw3mg,p1,1,133,50,80,nan,e6ahxvs6,p2,1,125,25,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,12,kn0mw3mg,p1,2,133,50,100,nan,e6ahxvs6,p2,1,125,40,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,13,kn0mw3mg,p1,2,133,50,100,nan,e6ahxvs6,p2,0,140,40,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,14,kn0mw3mg,p1,0,125,50,100,nan,e6ahxvs6,p2,1,140,67,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,15,kn0mw3mg,p1,1,125,40,100,nan,e6ahxvs6,p2,1,140,57,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,16,kn0mw3mg,p1,0,100,40,100,nan,e6ahxvs6,p2,0,117,57,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,17,kn0mw3mg,p1,2,100,40,100,nan,e6ahxvs6,p2,0,129,57,50,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,18,kn0mw3mg,p1,0,117,40,100,nan,e6ahxvs6,p2,2,129,57,60,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,19,kn0mw3mg,p1,0,114,40,100,nan,e6ahxvs6,p2,1,129,75,60,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,20,kn0mw3mg,p1,1,114,50,100,nan,e6ahxvs6,p2,2,129,75,83,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,21,kn0mw3mg,p1,0,100,50,100,nan,e6ahxvs6,p2,0,113,75,83,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,22,kn0mw3mg,p1,2,100,50,111,nan,e6ahxvs6,p2,1,113,78,83,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,23,kn0mw3mg,p1,1,100,43,111,nan,e6ahxvs6,p2,1,113,70,83,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,24,kn0mw3mg,p1,1,100,38,111,nan,e6ahxvs6,p2,1,113,64,83,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,25,kn0mw3mg,p1,2,100,38,110,nan,e6ahxvs6,p2,0,122,64,83,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,26,kn0mw3mg,p1,0,100,38,110,nan,e6ahxvs6,p2,1,122,75,83,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,27,kn0mw3mg,p1,1,100,33,110,nan,e6ahxvs6,p2,1,122,69,83,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,28,kn0mw3mg,p1,0,110,33,110,nan,e6ahxvs6,p2,2,122,69,86,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,29,kn0mw3mg,p1,1,110,40,110,nan,e6ahxvs6,p2,2,122,69,100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TRUE,350,50,1,FALSE,TRUE,2,MV1,2,FALSE,dpmkufvg,403,1,30,kn0mw3mg,p1,2,110,40,100,nan,e6ahxvs6,p2,2,122,69,89,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
