round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_target,p2_code,p2_role,p2_strategy,p2_target,p3_code,p3_role,p3_strategy,p3_target,p4_code,p4_role,p4_strategy,p4_target,p5_code,p5_role,p5_strategy,p5_target,p6_code,p6_role,p6_strategy,p6_target,p7_code,p7_role,p7_strategy,p7_target,p8_code,p8_role,p8_strategy,p8_target,p9_code,p9_role,p9_strategy,p9_target,p10_code,p10_role,p10_strategy,p10_target,p11_code,p11_role,p11_strategy,p11_target,p12_code,p12_role,p12_strategy,p12_target
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,0,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,1,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,2,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,3,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,4,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,5,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,6,vmw7ilvq,p1,0,nan,jgoc1gsv,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,7,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,8,vmw7ilvq,p1,0,nan,jgoc1gsv,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,9,vmw7ilvq,p1,0,nan,jgoc1gsv,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,10,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,11,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,12,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,13,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,14,vmw7ilvq,p1,0,nan,jgoc1gsv,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,15,vmw7ilvq,p1,0,nan,jgoc1gsv,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,16,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,17,vmw7ilvq,p1,0,nan,jgoc1gsv,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,18,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TRUE,160,20,1,FALSE,TRUE,2,BM2,2,TRUE,p1cc2ryg,552,6,19,vmw7ilvq,p1,1,nan,jgoc1gsv,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,0,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,1,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,2,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,3,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,4,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,5,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,6,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,7,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,8,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,9,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,10,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,11,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,12,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,13,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,14,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,15,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,16,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,17,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,18,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,19,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,20,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,21,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,22,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TRUE,400,50,1,FALSE,TRUE,2,BM1,2,FALSE,p1cc2ryg,554,6,23,min2lofe,p1,1,nan,bxqvfosw,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
