round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_target,p2_code,p2_role,p2_strategy,p2_target,p3_code,p3_role,p3_strategy,p3_target,p4_code,p4_role,p4_strategy,p4_target,p5_code,p5_role,p5_strategy,p5_target,p6_code,p6_role,p6_strategy,p6_target,p7_code,p7_role,p7_strategy,p7_target,p8_code,p8_role,p8_strategy,p8_target,p9_code,p9_role,p9_strategy,p9_target,p10_code,p10_role,p10_strategy,p10_target,p11_code,p11_role,p11_strategy,p11_target,p12_code,p12_role,p12_strategy,p12_target
10,TRUE,400,50,1,FALSE,TRUE,2,MV2,2,FALSE,4d93o8o2,60,3,0,mudde25a,p1,0,nan,iqt1jxus,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,400,50,1,FALSE,TRUE,2,MV2,2,FALSE,4d93o8o2,60,3,1,mudde25a,p1,2,nan,iqt1jxus,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,400,50,1,FALSE,TRUE,2,MV2,2,FALSE,4d93o8o2,60,3,2,mudde25a,p1,0,nan,iqt1jxus,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,400,50,1,FALSE,TRUE,2,MV2,2,FALSE,4d93o8o2,60,3,3,mudde25a,p1,1,nan,iqt1jxus,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,400,50,1,FALSE,TRUE,2,MV2,2,FALSE,4d93o8o2,60,3,4,mudde25a,p1,2,nan,iqt1jxus,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,400,50,1,FALSE,TRUE,2,MV2,2,FALSE,4d93o8o2,60,3,5,mudde25a,p1,2,nan,iqt1jxus,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,400,50,1,FALSE,TRUE,2,MV2,2,FALSE,4d93o8o2,60,3,6,mudde25a,p1,0,nan,iqt1jxus,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,400,50,1,FALSE,TRUE,2,MV2,2,FALSE,4d93o8o2,60,3,7,mudde25a,p1,0,nan,iqt1jxus,p2,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,400,50,1,FALSE,TRUE,2,MV2,2,FALSE,4d93o8o2,60,3,8,mudde25a,p1,0,nan,iqt1jxus,p2,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,TRUE,400,50,1,FALSE,TRUE,2,MV2,2,FALSE,4d93o8o2,60,3,9,mudde25a,p1,1,nan,iqt1jxus,p2,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
