round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_target,p2_code,p2_role,p2_strategy,p2_target,p3_code,p3_role,p3_strategy,p3_target,p4_code,p4_role,p4_strategy,p4_target,p5_code,p5_role,p5_strategy,p5_target,p6_code,p6_role,p6_strategy,p6_target,p7_code,p7_role,p7_strategy,p7_target,p8_code,p8_role,p8_strategy,p8_target,p9_code,p9_role,p9_strategy,p9_target,p10_code,p10_role,p10_strategy,p10_target,p11_code,p11_role,p11_strategy,p11_target,p12_code,p12_role,p12_strategy,p12_target
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,0,vzhvxhjo,p1,0,nan,1amqype1,p2,0,nan,2ke72zq6,p3,1,nan,a0pjg9qo,p1,0,nan,u6egssnc,p2,1,nan,st21zoq9,p3,1,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,1,vzhvxhjo,p1,0,nan,1amqype1,p2,0,nan,2ke72zq6,p3,1,nan,a0pjg9qo,p1,0,nan,u6egssnc,p2,1,nan,st21zoq9,p3,1,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,2,vzhvxhjo,p1,0,nan,1amqype1,p2,0,nan,2ke72zq6,p3,1,nan,a0pjg9qo,p1,0,nan,u6egssnc,p2,1,nan,st21zoq9,p3,1,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,3,vzhvxhjo,p1,0,nan,1amqype1,p2,0,nan,2ke72zq6,p3,1,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,1,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,4,vzhvxhjo,p1,0,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,5,vzhvxhjo,p1,0,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,6,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,1,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,7,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,1,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,8,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,1,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,1,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,9,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,2,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,1,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,10,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,11,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,12,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,13,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,14,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,15,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,16,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,17,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,18,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,0,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,19,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,1,nan,a0pjg9qo,p1,0,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,20,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,0,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,21,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,0,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,22,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,23,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,24,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,1,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,25,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,1,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,1,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,26,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,1,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,1,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,27,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,2,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,28,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,29,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,1,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,30,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,1,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,31,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,32,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,33,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
9,TRUE,160,40,1,TRUE,TRUE,3,FP,2,FALSE,pu67vrsm,1209,2,34,vzhvxhjo,p1,1,nan,1amqype1,p2,0,nan,2ke72zq6,p3,0,nan,a0pjg9qo,p1,1,nan,u6egssnc,p2,0,nan,st21zoq9,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,
