round,shuffle_role,period_length,num_subperiods,gamma,mean_matching,max_info,players_per_group,game,regret,practice,session_code,subsession_id,id_in_subsession,tick,p1_code,p1_role,p1_strategy,p1_target,p2_code,p2_role,p2_strategy,p2_target,p3_code,p3_role,p3_strategy,p3_target,p4_code,p4_role,p4_strategy,p4_target,p5_code,p5_role,p5_strategy,p5_target,p6_code,p6_role,p6_strategy,p6_target,p7_code,p7_role,p7_strategy,p7_target,p8_code,p8_role,p8_strategy,p8_target,p9_code,p9_role,p9_strategy,p9_target,p10_code,p10_role,p10_strategy,p10_target,p11_code,p11_role,p11_strategy,p11_target,p12_code,p12_role,p12_strategy,p12_target
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,0,9ueqzht1,p1,0,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,1,9ueqzht1,p1,1,nan,ora73n7k,p2,1,nan,m4a1mn5y,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,2,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,3,9ueqzht1,p1,1,nan,ora73n7k,p2,1,nan,m4a1mn5y,p3,1,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,4,9ueqzht1,p1,1,nan,ora73n7k,p2,1,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,5,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,6,9ueqzht1,p1,1,nan,ora73n7k,p2,1,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,7,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,8,9ueqzht1,p1,1,nan,ora73n7k,p2,1,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,9,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,10,9ueqzht1,p1,1,nan,ora73n7k,p2,1,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,11,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,12,9ueqzht1,p1,1,nan,ora73n7k,p2,1,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,13,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,14,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,15,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,2,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,16,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,17,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,18,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,19,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TRUE,320,40,1,FALSE,FALSE,3,FP,2,FALSE,mah99197,862,1,20,9ueqzht1,p1,1,nan,ora73n7k,p2,0,nan,m4a1mn5y,p3,0,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
